	Sample.type	PSM	lat	long	MAT	MAP	pH	TP	AP
1	Composts	7.603954934	34	133	15.5485707	1704	7.48	18000	595
2	Composts	6.934313613	46	127	3.67587504	535	7.8	11625	3645
3	Rhizosphere soil	8.033423402	10	5	26.66154154	1115	4.76	NA	10.61
4	Rhizosphere soil	8.282413757	11.02	97.55	26	640	7.45	270	NA
5	Rhizosphere soil	5.743649803	12.3	75.75	21.79863528	3310	6.7	64.6	2.85
6	Rhizosphere soil	6.266242362	12.97	77.8	23.93066665	175	8.2	11.4	2.85
7	Rhizosphere soil	6.204435275	13.88	75.97	24.51780184	2725.5	6.6	65.69	3.23
8	Rhizosphere soil	3.422442096	14	100	28.04226041	1013	5	NA	3.93
9	Rhizosphere soil	3.171921379	14	101	27.69957296	1299	NA	NA	5.42
10	Rhizosphere soil	8.505319472	-15.15	-43.82	24.27230231	818	NA	NA	NA
11	Rhizosphere soil	3.083224826	16	104	26.94617709	1339	NA	NA	2.23
12	Rhizosphere soil	6.491349365	16.05	-3	28.80155202	266	6.37	NA	3.22
13	Rhizosphere soil	6.361711219	16.13	-1.1	29.81696892	206	5.88	NA	483.93
14	Rhizosphere soil	3.533009022	-19.21	-40.1	22	750	5.5	273.3	NA
15	Rhizosphere soil	3.930031615	-19.24	-40.08	22	750	6.6	294.4	NA
16	Rhizosphere soil	5.671461659	-19.89	-43.44	20.0810833	1462	NA	NA	NA
17	Rhizosphere soil	6.009846765	20	111	24.5	1822.485714	6.11	NA	45.5
18	Rhizosphere soil	7.837447584	20	86	26.79047116	1433	5.41	NA	6.5
19	Rhizosphere soil	5.828065826	21	-158	25.1	1120	6.94	NA	NA
20	Rhizosphere soil	4.14924649	22	72	27.34978112	561	8.06	NA	228.69
21	Rhizosphere soil	6.005857461	23.47	120.87	12	2900	4.29	NA	NA
22	Rhizosphere soil	6.936188402	24	56	27.01084359	140	7.98	NA	30.72
23	Rhizosphere soil	4.892161412	28	78	25.30543747	803	NA	NA	NA
24	Rhizosphere soil	5.764322617	29	77	24.73107272	658	NA	NA	NA
25	Rhizosphere soil	5.385715995	29.98	104.1	17.1843959	1236	7.39	NA	9.17
26	Rhizosphere soil	7.885077886	3.87	11.53	23.47507302	1545	5.2	NA	10.98
27	Rhizosphere soil	6.355626199	30.01	101.7	-0.839947944	767	4.02	NA	21.79
28	Rhizosphere soil	8.694905515	30	69	19.83056242	263	NA	NA	NA
29	Rhizosphere soil	8.300087812	31	76	23.50422903	773	7.81	346.72	7.22
30	Rhizosphere soil	7.206823502	31	77	18.71879178	1425	NA	NA	NA
31	Rhizosphere soil	7.324692104	31	78	15.8235416	1509	NA	NA	NA
32	Rhizosphere soil	7.440907697	32	77	14.91422922	1448	NA	NA	NA
33	Rhizosphere soil	4.363147983	32	78	-4.812510406	511	7.6	NA	11.62
34	Rhizosphere soil	8.317540848	32.1	118.13	15.6693021	1002	5.32	160	7.6
35	Rhizosphere soil	7.739571648	33	76	8.954187466	1243	NA	NA	NA
36	Rhizosphere soil	4.381030802	33	77	-9.742104143	304	NA	NA	NA
37	Rhizosphere soil	8.322611868	34	73	18.44859376	1177	NA	NA	NA
38	Rhizosphere soil	6.313807633	36	127	12.98152085	1266	6.33	NA	158.33
39	Rhizosphere soil	5.773827712	37	127	11.7613644	1276	NA	NA	NA
40	Rhizosphere soil	4.535296652	4.23	-73.23	26.4981041	2866	4.55	NA	2.06
41	Rhizosphere soil	3.960137104	4.3	-73.22	26.52795831	3023	4.65	NA	3.11
42	Rhizosphere soil	6.128370832	40	41	5.243666656	476	6.74	NA	15.33
43	Rhizosphere soil	4.776243408	46	127	3.67587504	535	NA	NA	NA
44	Rhizosphere soil	8.482892391	6	100	27.14374995	2600	NA	NA	NA
45	Rhizosphere soil	6.209312565	8	-72	15.04721856	1832	5.1	NA	17
46	Bulk soil	5.833728333	0	34	22.51620817	930	5.72	NA	2.45
47	Bulk soil	5.380051971	0	35	21.98909382	1293	5.63	NA	7.08
48	Bulk soil	6.049571519	0	36	18.00503123	1005	6.03	NA	4.66
49	Bulk soil	5.790926629	0	38	23.9105622	561	5.63	NA	7.91
