Sample.type	PSM	lat	long	lMAT	lMAP	lpH	lTP	lAP	MAT	MAP	pH	TP	AP
1	Composts	7.603954934	34	133	1.419801734	3.194514342	0.649334859	4.255296626	2.775237151	15.5485707	1704	7.48	18000	595
2	Composts	6.934313613	46	127	1.158904394	2.597695186	0.679427897	4.065430309	3.561815175	3.67587504	535	7.8	11625	3645
3	Rhizosphere soil	8.033423402	10	5	1.572913934	2.989449818	0.240549248	NA	1.064364381	26.66154154	1115	4.76	NA	10.61
4	Rhizosphere soil	8.282413757	11.02	97.55	1.565164024	2.699837726	0.646403726	2.432968874	NA	26	640	7.45	270	NA
5	Rhizosphere soil	5.743649803	12.3	75.75	1.512427417	3.501196242	0.565847819	1.816902118	0.584048388	21.79863528	3310	6.7	64.6	2.85
6	Rhizosphere soil	6.266242362	12.97	77.8	1.539988549	1.556302501	0.71432976	1.093412579	0.584048388	23.93066665	175	8.2	11.4	2.85
7	Rhizosphere soil	6.204435275	13.88	75.97	1.54728115	3.412712483	0.553883027	1.824059024	0.625055091	24.51780184	2725.5	6.6	65.69	3.23
8	Rhizosphere soil	3.422442096	14	100	1.58865668	2.941511433	0.29666519	NA	0.691744369	28.04226041	1013	5	NA	3.93
9	Rhizosphere soil	3.171921379	14	101	1.584802326	3.064457989	NA	NA	0.806688615	27.69957296	1299	NA	NA	5.42
10	Rhizosphere soil	8.505319472	-15.15	-43.82	1.544246769	2.831869774	NA	NA	NA	24.27230231	818	NA	NA	NA
11	Rhizosphere soil	3.083224826	16	104	1.576206332	3.079181246	NA	NA	0.507518556	26.94617709	1339	NA	NA	2.23
12	Rhizosphere soil	6.491349365	16.05	-3	1.597076821	2.103803721	0.525044807	NA	0.624024125	28.80155202	266	6.37	NA	3.22
13	Rhizosphere soil	6.361711219	16.13	-1.1	1.608088021	1.826074803	0.456366033	NA	2.685667857	29.81696892	206	5.88	NA	483.93
14	Rhizosphere soil	3.533009022	-19.21	-40.1	1.515106586	2.78604121	0.394451681	2.438225396	NA	22	750	5.5	273.3	NA
15	Rhizosphere soil	3.930031615	-19.24	-40.08	1.515106586	2.78604121	0.553883027	2.470410109	NA	22	750	6.6	294.4	NA
16	Rhizosphere soil	5.671461659	-19.89	-43.44	1.488877547	3.121559844	NA	NA	NA	20.0810833	1462	NA	NA	NA
17	Rhizosphere soil	6.009846765	20	111	1.54706183	3.226209435	0.489958479	NA	1.667336191	24.5	1822.485714	6.11	NA	45.5
18	Rhizosphere soil	7.837447584	20	86	1.574408365	3.111934276	0.378397901	NA	0.874336835	26.79047116	1433	5.41	NA	6.5
19	Rhizosphere soil	5.828065826	21	-158	1.554393497	2.991669007	0.593286067	NA	NA	25.1	1120	6.94	NA	NA
20	Rhizosphere soil	4.14924649	22	72	1.580832467	2.625312451	0.702430536	NA	2.361118452	27.34978112	561	8.06	NA	228.69
21	Rhizosphere soil	6.005857461	23.47	120.87	1.356830644	3.441066407	0.103803721	NA	NA	12	2900	4.29	NA	NA
22	Rhizosphere soil	6.936188402	24	56	1.576950867	0	0.695481676	NA	1.501162001	27.01084359	140	7.98	NA	30.72
23	Rhizosphere soil	4.892161412	28	78	1.556875652	2.822168079	NA	NA	NA	25.30543747	803	NA	NA	NA
