	Site	Habitat	PSM	long	lat	Elevation	MAT	MAP	TP	AP	pH	EC	NH4	NO3	WSOC	DOC
1	GDDBS	Forest	5.895851398	113.7030467	24.59785333	196	17.9	1768	361.7614516	3.564729129	3.787	0.289	3.290948279	379.7983972	10.42066667	0
2	YNDC	Farmland	5.892721231	103.0568267	26.18891667	2000	14.7	853	2153.154619	118.9625775	7.599	0.539	1.598315362	283.4436259	93.725	0
3	FJZJS	Forest	5.873266469	116.3905933	25.20083833	393	19.7	1682	222.2038697	3.252979674	3.888	0.123	5.539870054	0.554304035	152.215	0
4	JXYP	Farmland	5.863222865	117.7219417	28.20614833	73	18.5	1793	494.964567	19.08101443	5.146	1.845	0.368974719	293.7333281	4.147	106.39
5	YNLP	Forest	5.862951198	99.38988667	26.39706333	2362	13.7	1152	157.8280535	3.425393204	5.356	0.134	2.628783671	169.0249658	77.93	0
6	JXDX	Farmland	5.852550589	117.70947	29.02181167	317	17.4	1781	2125.47392	106.4549052	4.639	0.297	3.445610877	310.1034731	25.0155	471.805
7	FJZJS	Farmland	5.834819488	116.3803267	25.15662667	207	19.7	1682	789.5941482	29.11534992	5.975	0.475	0.224961699	322.575228	26.3915	0
8	JXDX	Forest	5.812694915	117.7269333	29.003805	331	16.6	1849	556.5871017	6.807775051	4.332	0.555	1.697972168	26.80170712	13.14415	99.5805
9	HNSKS	Forest	5.783334638	112.5644517	26.55602833	66	18.5	1390	403.2098183	4.186396878	4.002	0.299	3.590451323	229.341756	42.3035	0
10	HLJXL	Farmland	5.758553641	129.27377	47.47459833	217	1.2	636	1447.495463	91.50652081	7.096	0.43	0.903497444	178.9986785	90.37	0
11	NMGBY	Farmland	5.743570915	118.921765	44.44426167	942	2	395	481.4693278	21.6760414	6.546	0.437	1.095707177	415.869233	158.59	0
12	HBFS	Forest	5.736562019	115.4763483	29.83728	26	17.2	1414	640.9391222	17.23536472	7.696	0.517	1.411951641	381.4170986	62.8525	0
13	GSCB	Forest	5.732943018	105.7288317	33.94779167	1578	10.5	651	467.9393103	1.945090462	6.788	0.152	0.694609638	178.7020089	89.091	59.30666667
