	lon	lat	Farmland	Forest	Gobi	Grassland	Mined	radius	radius.1
1	102.27	38.48	0	0	2	0	2	2.5	4
2	97.75	31.41	0	0	4	0	1	2.5	5
3	99.81	35.32	0	0	0	3	2	2.5	5
4	116.55	44.2	0	0	0	4	1	2.5	5
5	89.67	46.81	0	0	0	4	2	2.5	6
6	92.65	42.13	0	0	2	0	4	2.5	6
7	95.56	37.29	0	0	4	0	2	2.5	6
8	107.08	41.16	0	0	0	4	2	2.5	6
9	99.57	31.17	0	0	0	4	4	2.5	8
10	115.25	41.42	4	0	0	3	1	2.5	8
11	86.33	48.26	0	0	0	4	5	2.5	9
12	103.1	26.19	4	3	0	0	2	2.5	9
13	103.72	26.64	3	3	0	0	3	2.5	9
14	104.01	26.75	4	3	0	0	2	2.5	9
15	106.6	33.89	4	4	0	0	1	2.5	9
16	111.64	22.14	3	4	0	0	2	2.5	9
17	118.93	44.44	4	0	0	3	2	2.5	9
18	89.8	47.19	0	0	0	4	6	3.4	10
19	99.39	26.39	4	4	0	0	2	3.4	10
20	102.03	24.88	4	4	0	0	2	3.4	10
21	107.05	41.1	4	4	0	0	2	3.4	10
22	111.65	35.26	4	4	0	0	2	3.4	10
23	112.57	26.54	4	4	0	0	2	3.4	10
24	112.7	25.68	4	3	0	0	3	3.4	10
25	113.66	25.04	4	4	0	0	2	3.4	10
26	115.48	29.83	4	4	0	0	2	3.4	10
27	115.64	26.22	4	4	0	0	2	3.4	10
28	115.83	29.69	4	4	0	0	2	3.4	10
29	118.96	32.17	3	4	0	0	3	3.4	10
30	113.7	24.6	4	4	0	0	3	4.3	11
31	116.39	25.2	3	4	0	0	4	4.3	11
32	117.72	29	4	4	0	0	3	4.3	11
33	123.58	40.72	4	4	0	0	3	4.3	11
34	105.71	33.95	4	4	0	0	4	4.3	12
35	107.62	24.83	4	4	0	0	4	4.3	12
36	115.66	29.75	4	4	0	0	4	4.3	12
37	117.71	28.21	4	4	0	0	4	4.3	12
38	117.98	30.93	4	4	0	0	4	4.3	12
39	119.82	30.11	4	4	0	0	4	4.3	12
40	129.29	47.45	4	4	0	0	4	4.3	12
