	lat	lon	Rhizosphere	Bulk	Sediment	Roots	Water	Composts	Municipal.solid.waste	Rock	radius
1	10	5	1	0	0	0	0	0	0	0	2.5
2	12	80	0	1	0	0	0	0	0	0	2.5
3	12	93	0	1	0	0	0	0	0	0	2.5
4	13	75	0	1	0	0	0	0	0	0	2.5
5	-19.21	-40.1	1	0	0	0	0	0	0	0	2.5
6	-19.24	-40.08	1	0	0	0	0	0	0	0	2.5
7	-21	-45	0	1	0	0	0	0	0	0	2.5
8	22	87	0	1	0	0	0	0	0	0	2.5
9	34	75	0	1	0	0	0	0	0	0	2.5
10	41	-6	1	0	0	0	0	0	0	0	2.5
11	0	35	0	2	0	0	0	0	0	0	2.5
12	0	36	0	2	0	0	0	0	0	0	2.5
13	22.98	88.63	0	0	1	0	1	0	0	0	2.5
14	23.07	88.72	0	0	1	0	1	0	0	0	2.5
15	24.9	104	0	2	0	0	0	0	0	0	2.5
16	26.6	104.8	0	2	0	0	0	0	0	0	2.5
17	26.8	104.6	0	2	0	0	0	0	0	0	2.5
18	29.94	116.12	0	0	2	0	0	0	0	0	2.5
19	29.95	116.16	0	0	2	0	0	0	0	0	2.5
20	29.96	116.21	0	0	2	0	0	0	0	0	2.5
21	3.87	11.53	2	0	0	0	0	0	0	0	2.5
22	30.5	103	0	2	0	0	0	0	0	0	2.5
23	31	77	1	0	0	1	0	0	0	0	2.5
24	31	78	1	0	0	1	0	0	0	0	2.5
25	31.53	117.6	0	0	2	0	0	0	0	0	2.5
26	31.59	117.75	0	0	2	0	0	0	0	0	2.5
27	31.6	117.4	0	0	2	0	0	0	0	0	2.5
28	31.65	117.4	0	0	2	0	0	0	0	0	2.5
29	32	77	1	0	0	1	0	0	0	0	2.5
30	33	76	1	0	0	1	0	0	0	0	2.5
31	37	123	0	0	0	2	0	0	0	0	2.5
32	39.9	116.2	0	2	0	0	0	0	0	0	2.5
33	-4	40	0	2	0	0	0	0	0	0	2.5
34	32.93	73.73	0	0	0	3	0	0	0	0	2.5
35	-33	-71	0	3	0	0	0	0	0	0	2.5
36	40	41	3	0	0	0	0	0	0	0	2.5
37	0	38	0	4	0	0	0	0	0	0	3.4
38	31.5	120.22	0	0	2	0	2	0	0	0	3.4
39	31.52	120.2	0	0	2	0	2	0	0	0	3.4
40	34	133	0	0	0	0	0	4	0	0	3.4
41	4.23	-73.23	5	0	0	0	0	0	0	0	3.4
42	4.3	-73.22	5	0	0	0	0	0	0	0	3.4
43	16.05	-3	3	0	0	3	0	0	0	0	3.4
44	23	114	0	6	0	0	0	0	0	0	3.4
45	0	34	0	8	0	0	0	0	0	0	3.4
46	-1	34	0	8	0	0	0	0	0	0	3.4
47	12.97	77.8	8	0	0	0	0	0	0	0	3.4
48	-15.15	-43.82	8	0	0	0	0	0	0	0	3.4
49	16	104	8	0	0	0	0	0	0	0	3.4
50	30.25	120.27	0	0	4	0	4	0	0	0	3.4
51	31.52	120.22	0	0	4	0	4	0	0	0	3.4
52	36	127	8	0	0	0	0	0	0	0	3.4
53	54	12	0	8	0	0	0	0	0	0	3.4
54	22	72	9	0	0	0	0	0	0	0	3.4
55	23.47	120.87	3	6	0	0	0	0	0	0	3.4
56	24	56	9	0	0	0	0	0	0	0	3.4
57	28	78	9	0	0	0	0	0	0	0	3.4
58	29.98	104.1	10	0	0	0	0	0	0	0	3.4
59	35	114.4	0	10	0	0	0	0	0	0	3.4
60	40	116.3	0	10	0	0	0	0	0	0	3.4
61	12.3	75.75	11	0	0	0	0	0	0	0	3.4
62	21	-158	5	0	0	6	0	0	0	0	3.4
63	8	-72	7	4	0	0	0	0	0	0	3.4
64	13.88	75.97	12	0	0	0	0	0	0	0	3.4
65	14	100	12	0	0	0	0	0	0	0	3.4
66	14	101	12	0	0	0	0	0	0	0	3.4
67	-19.89	-43.44	10	2	0	0	0	0	0	0	3.4
68	32	78	6	6	0	0	0	0	0	0	3.4
69	32.1	118.13	12	0	0	0	0	0	0	0	3.4
70	29.37	72.75	0	13	0	0	0	0	0	0	3.4
71	20	111	15	0	0	0	0	0	0	0	3.4
72	-23	-45	0	15	0	0	0	0	0	0	3.4
73	16.13	-1.1	9	0	0	9	0	0	0	0	4.3
74	31	76	18	0	0	0	0	0	0	0	4.3
75	37	127	18	0	0	0	0	0	0	0	4.3
76	9	79	0	0	0	0	24	0	0	0	4.3
77	6	100	8	12	0	8	0	0	0	0	4.3
78	30.01	101.7	10	10	0	9	0	0	0	0	4.3
79	13	80	0	0	0	0	30	0	0	0	4.3
80	11.02	97.55	32	0	0	0	0	0	0	0	4.3
81	30	69	32	0	0	0	0	0	0	0	4.3
82	20	86	36	0	0	0	0	0	0	0	4.3
83	29	77	30	6	0	0	0	0	0	0	4.3
84	34	73	40	0	0	0	0	0	0	0	4.3
85	37	-5	0	0	0	0	48	0	0	0	4.3
86	23	88	0	47	2	0	0	0	0	0	4.3
87	50	-113	0	47	0	0	0	0	0	4	4.3
88	46	127	4	0	0	0	0	28	20	0	4.3
89	33	77	30	30	0	0	0	0	0	0	4.3
90	22	89	0	63	0	0	0	0	0	0	4.3
